NUMBER,GAS_USED,TXS,TIMESTAMP
239286,75915000,3615,1614076098
239287,11361000,541,1614076111
239288,76209000,3629,1614076166
239289,21504000,1024,1614076169
239290,63987000,3047,1614076183
239291,22659000,1079,1614076189
239292,85491000,4071,1614076207
239293,22659000,1079,1614076243
239294,52353000,2493,1614076252
239295,31584000,1504,1614076256
239296,31269000,1489,1614076260
239297,61446000,2926,1614076351
239298,8883000,423,1614076352
239299,85050000,4050,1614076376
239300,23100000,1100,1614076394
239301,8526000,406,1614076395
239302,75222000,3582,1614076404
239303,10794000,514,1614076419
239304,82698000,3938,1614076468
239305,11844000,564,1614076483
239306,77028000,3668,1614076506
239307,21084000,1004,1614076531
239308,85533000,4073,1614076546
239309,9681000,461,1614076548
239310,75915000,3615,1614076563
239311,32235000,1535,1614076580
239312,59682000,2842,1614076611
239313,41391000,1971,1614076618
239314,49854000,2374,1614076624
239315,44100000,2100,1614076635
239316,27132000,1292,1614076643
239317,65814000,3134,1614076654
239318,24717000,1177,1614076663
239319,45591000,2171,1614076670
239320,21924000,1044,1614076673
239321,21441000,1021,1614076675
239322,55377000,2637,1614076682
239323,40173000,1913,1614076726
239324,66423000,3163,1614076736
239325,33327000,1587,1614076745
239326,52521000,2501,1614076772
239327,47838000,2278,1614076784
239328,54348000,2588,1614076796
239329,53802000,2562,1614076813
239330,54348000,2588,1614076827
239331,49602000,2362,1614076900
239332,18564000,884,1614076904
239333,48153000,2293,1614076910
239334,46200000,2200,1614076936
239335,38136000,1816,1614076961
239336,47061000,2241,1614076990
239337,61089000,2909,1614077008
239338,9450000,450,1614077011
239339,7098000,338,1614077012
239340,77952000,3712,1614077033
239341,30198000,1438,1614077039
239342,55818000,2658,1614077065
239343,35322000,1682,1614077074
239344,50379000,2399,1614077094
239345,57771000,2751,1614077111
239346,18942000,902,1614077115
239347,30555000,1455,1614077118
239348,38493000,1833,1614077123
239349,46914000,2234,1614077137
239350,22743000,1083,1614077143
239351,63231000,3011,1614077206
239352,22176000,1056,1614077213
239353,11277000,537,1614077214
239354,37023000,1763,1614077219
239355,65058000,3098,1614077227
239356,27090000,1290,1614077230
239357,8904000,424,1614077232
239358,76671000,3651,1614077259
239359,21882000,1042,1614077264
239360,61299000,2919,1614077271
239361,41811000,1991,1614077277
239362,49980000,2380,1614077296
239363,58044000,2764,1614077304
239364,27342000,1302,1614077332
239365,18837000,897,1614077334
239366,54138000,2578,1614077341
239367,47628000,2268,1614077347
239368,40929000,1949,1614077378
239369,24045000,1145,1614077381
239370,83118000,3958,1614077392
239371,19467000,927,1614077407
239372,85281000,4061,1614077418
239373,15876000,756,1614077420
239374,20580000,980,1614077423
239375,16422000,782,1614077425
239376,69006000,3286,1614077445
239377,24948000,1188,1614077462
239378,60396000,2876,1614077478
239379,22806000,1086,1614077483
239380,62349000,2969,1614077498
239381,44919000,2139,1614077511
239382,53130000,2530,1614077548
239383,18942000,902,1614077550
239384,29904000,1424,1614077554
239385,12537000,597,1614077555
239386,56448000,2688,1614077562
239387,34377000,1637,1614077567
239388,54285000,2585,1614077579
239389,53865000,2565,1614077597
239390,18438000,878,1614077600
239391,60480000,2880,1614077607
239392,47670000,2270,1614077614
239393,48027000,2287,1614077632
239394,25557000,1217,1614077635
239395,16758000,798,1614077637
239396,24339000,1159,1614077640
239397,17367000,827,1614077642
239398,9303000,443,1614077644
239399,35847000,1707,1614077648
239400,49560000,2360,1614077664
239401,58590000,2790,1614077683
239402,49560000,2360,1614077701
239403,22743000,1083,1614077707
239404,63000000,3000,1614077723
239405,22407000,1067,1614077726
239406,60249000,2869,1614077734
239407,30933000,1473,1614077751
239408,76650000,3650,1614077761
239409,22449000,1069,1614077766
239410,50358000,2398,1614077772
239411,51954000,2474,1614077778
239412,51492000,2452,1614077785
239413,39501000,1881,1614077790
239414,45885000,2185,1614077804
239415,53151000,2531,1614077826
239416,22995000,1095,1614077832
239417,55020000,2620,1614077839
239418,30807000,1467,1614077866
239419,76188000,3628,1614077881
239420,31962000,1522,1614077899
239421,31122000,1482,1614077903
239422,39585000,1885,1614077908
239423,68565000,3265,1614077932
239424,20643000,983,1614077946
239425,65142000,3102,1614077972
239426,21126000,1006,1614077978
239427,15309000,729,1614077980
239428,22491000,1071,1614077982
239429,62916000,2996,1614078002
239430,44562000,2122,1614078012
239431,38430000,1830,1614078020
239432,61950000,2950,1614078031
239433,43470000,2070,1614078054
239434,53487000,2547,1614078068
239435,54663000,2603,1614078082
239436,13314000,634,1614078085
239437,58254000,2774,1614078092
239438,12936000,616,1614078094
239439,80577000,3837,1614078106
239440,22050000,1050,1614078113
239441,64050000,3050,1614078135
239442,21903000,1043,1614078141
239443,68397000,3257,1614078152
239444,21924000,1044,1614078178
239445,36750000,1750,1614078183
239446,64617000,3077,1614078191
239447,20475000,975,1614078205
239448,29442000,1402,1614078210
239449,52395000,2495,1614078217
239450,9429000,449,1614078218
239451,43092000,2052,1614078223
239452,65058000,3098,1614078259
239453,34650000,1650,1614078263
239454,50505000,2405,1614078282
239455,50400000,2400,1614078306
239456,22071000,1051,1614078310
239457,63399000,3019,1614078325
239458,22701000,1081,1614078332
239459,51366000,2446,1614078338
239460,56784000,2704,1614078374
239461,34587000,1647,1614078382
239462,42000000,2000,1614078389
239463,41244000,1964,1614078394
239464,66906000,3186,1614078403
239465,31794000,1514,1614078411
239466,76356000,3636,1614078455
239467,31794000,1514,1614078466
239468,13650000,650,1614078471
239469,52542000,2502,1614078477
239470,54831000,2611,1614078484
